City,Longitude,Latitude
Barcelona,2.0981236685319766,41.418196093471835
Montpellier,3.876905457579198,43.62030505503298
Rome,12.523387802519046,41.87179827012012
Naples,14.264832861388683,40.88394604294539
Porto,-8.570300946579344,41.1759707207747
Sevilla,-5.987013148577445,37.37614840753795
Alicante,-0.4826545001560778,38.38787728415351
Valencia,-0.4406709809069213,39.50052025650855
Bologna,11.345388064196953,44.50363226714939
Padua,11.880176042094558,45.40621270190214
Turin,7.6655733212929436,45.06824475301598
Madrid,-3.7109252095432423,40.41184489120102
Murcia,-1.1627075379228748,38.01723124786483
Genoa,8.919862648727893,44.436798840915536
Milan,9.18631115455237,45.47477066282031
Lisbon,-9.16653421219493,38.71250943967386
Palma_de_Mallorca,2.665374507312715,39.58743568232302
Split,16.47169587854902,43.52323280215686
Marseille,5.410498277765979,43.311569508342735
Palermo,13.341650638076667,38.12036868695652
Nice,7.248806228179191,43.7075821330512
Malaga,-4.459956143887554,36.70728439510485
Bari,16.834440339311996,41.08845438066317
Antwerp,4.422838262815744,51.21860997273357
Amsterdam,4.860560181280518,52.36825984762513
Brussels,4.375384506245089,50.842562870875646
London,-0.13485411524510718,51.504777396650105
Paris,2.3492812968151373,48.860722958165326
Luxembourg,6.114444075148675,49.61652712040008
Rotterdam,4.465280530843339,51.91408261251695
Lille,3.12363788145187,50.67379654511528
Basel,7.595252280369801,47.56260406526964
Birmingham,-1.9357093961413612,52.50237690978012
Nantes,-1.5522538502412704,47.224170349204
Strasbourg,7.732715207438441,48.58116076716648
Zurich,8.537112004378507,47.38324773288101
Frankfurt,8.665647464943874,50.11378892100428
Vienna,16.376167466233714,48.20239963381353
Munich,11.546262508292374,48.15143735021009
Bratislava,17.123469811235278,48.154189617760146
Prague,14.438027369932767,50.060579385685145
Geneva,6.131019583065512,46.202667354282184
Bordeaux,-0.5920685590531838,44.83627087894562
Utrecht,5.09513740785248,52.077990039205424
Liege,5.579313167981628,50.633909388461056
Bilbao,-2.962380794614325,43.29479860261707
Charleroi,4.442963256978418,50.42045053179856
Wroclaw,17.03816982241488,51.10461181754877
Leipzig,12.370901972101306,51.340460618345865
Berlin,13.399985482606551,52.50771690814701
Hamburg,9.995940466334174,53.56374002086815
Lodz,19.44175781845454,51.75999585375
Warsaw,20.990371032347802,52.221879679849515
Edinburgh,-3.2244911136480088,55.943863746167885
Glasgow,-4.239064305004993,55.84371737286154
Cologne,6.958748251784122,50.95257947468113
Dusseldorf,6.812338300396667,51.221989214407365
Newcastle,-1.5633654407272999,54.962343351854905
Ghent,3.716477733596386,51.06093004654314
Dublin,-6.28783367722974,53.3398645114021
Toulouse,1.4209057144608952,43.59490055691343
Leeds,-1.5709737318892956,53.77887930981795
Lyon,4.844354886946152,45.75065465058036
Tallinn,24.762674767677915,59.422500626543105
Reykjavik,-21.866985802621624,64.11360238579341
Copenhagen,12.511248999536074,55.68367142182548
Goteborg,11.979913968846912,57.70643677497603
Helsinki,24.9124338483141,60.24193603465569
Stockholm,18.03412477885238,59.328156552699035
Oslo,10.751366478443265,59.91693534843316
Tartu,26.729086893287995,58.36865876584861
Riga,24.147263248990686,56.94681553885382
Klaipeda,21.183097678802152,55.72114472893674
Vilnius,25.26176950079941,54.69623839166544
Gdansk,18.57362653162407,54.36263282200144
Sofia,23.32120155581427,42.6858649030181
Zagreb,15.981286886121113,45.81241522295908
Budapest,19.09738159432647,47.49129519588098
Szeged,20.134449847357814,46.259779151410655
Brasov,25.612609272894307,45.66115819921776
Bucharest,26.086727372508093,44.444526990948965
Ljubljana,14.513876291889323,46.06693074872742
Sarajevo,18.35204082062253,43.852983334661644
Gyor,17.643878224590168,47.68006839985097
Thessaloniki,22.951679101353534,40.64265423079882
Debrecen,21.63676789659422,47.531273486488914
Belgrado,20.438381216104727,44.79301265526465
Podgorica,19.252634624950637,42.424926881537374
Trieste,13.795888858912502,45.6433425851235
Miskolc,20.770530833836858,48.09629400475831
Kosice,21.261090456379026,48.7093551739678
Krakow,19.95840462789635,50.04836921130119
Pecs,18.233324837452432,46.076030084197875
Varna,27.90891124038645,43.21695383839978
Skopje,21.438513919873866,41.998909246434344
Novi_Sad,19.819736392820595,45.24679860433322
Graz,15.432434425058522,47.04872745814758
Athens,23.743316479611135,38.00444961282535
Tirana,19.795592327072434,41.344479688460694
Cluj_Napoca,23.604075068185782,46.77234058471435
Accra,-0.21054769693812092,5.644146755302807
Addis_Abeba,38.75103562574505,8.995520768005512
Amman,35.91739323291771,31.96350270603453
Auckland,174.7872538069643,-36.8922024342904
Bogota,-74.12537070702703,4.632536136821
Buenos_Aires,-58.49835183676573,-34.63888804647752
Cairo,31.242795092751752,30.065800347232006
Cape_Town,18.58658620532004,-33.962264744314176
Chennai,80.16693122953176,13.042888018551519
Curitiba,-49.259271064955456,-25.45491582376312
Dakar,-17.352926420389203,14.756878466184926
Dhaka,90.40396212166202,23.78777361739096
Dubai,55.28409042972192,25.15959006694599
Ho_Chi_Minh,106.6510913149713,10.813829893203549
Hong_Kong,114.18236052097855,22.323213986470293
Houston,-95.47545867954808,29.791538588969868
Islamabad,73.06030410665363,33.60999782372891
Istanbul,28.980032007283143,41.04383169567058
Jakarta,106.82416793388688,-6.222192149103071
Karachi,67.04607330401237,24.9039035441654
Lagos,3.299784362003992,6.561426688345801
Lima,-77.02902243414802,-12.038377989880065
Los_Angeles,-118.27659250050283,34.011603160961045
Marrakesh,-8.025228320389301,31.62902671028707
Medina,39.60105078633284,24.454538262854626
Melbourne,144.99598712963294,-37.78480914384196
Mexico_City,-99.13800114855286,19.410747872191045
Mogadishu,45.31650453745651,2.0629731097981905
Moscow,37.61303245911098,55.751883102164626
Nairobi,36.8480810406605,-1.2684142794579243
Nanjing,118.79291359557367,32.03794348287253
New_York,-73.90241090833527,40.71485243808948
Phoenix,-112.02465890789166,33.49343151936101
Rabat,-6.836890888213732,33.993793614468984
Salvador,-38.44954769564376,-12.933817035616327
Santiago,-70.65454265459083,-33.4736894236295
Singapore,103.85458696024847,1.3471433256561223
Sydney,151.12085151702453,-33.86319015124032
Teheran,51.40780262089734,35.70162175594229
Tokyo,139.7097589478329,35.7126404505807
Toronto,-79.40757485612286,43.72912905391694
Tschwane,28.232997751549874,-25.74672503481869
